GPT-4o BACKTEST REPORT
Generated: 2025-12-19T22:01:28.919Z
Total Matches: 21
1X2 Accuracy: 12/21 (57.1%)
BTTS Accuracy: 11/21 (52.4%)
Over 2.5 Accuracy: 14/21 (66.7%)


#,Date,League,Home Team,Away Team,Score,Result,Home Odds,Draw Odds,Away Odds,BTTS Yes Odds,BTTS No Odds,O2.5 Odds,U2.5 Odds,Pred 1X2,Home %,Draw %,Away %,1X2 Correct,Pred BTTS,Actual BTTS,BTTS Correct,O2.5 %,Actual O2.5,O2.5 Correct,Confidence,AI Analysis
1,2025-12-14,"La Liga","Alaves","Real Madrid",1-2,2,5.90,4.00,1.57,1.83,1.91,1.83,1.95,2,10,15,75,YES,Yes,Yes,YES,70,Yes,YES,Low,"Real Madrid is heavily favored to win given their historical dominance and higher league standing. While Alaves may leverage home advantage; Real Madrid's quality should prevail. Expect a high-scoring"
2,2025-12-14,"Ligue 1","Marseille","Monaco",1-0,1,1.92,3.75,3.65,1.45,2.55,1.53,2.45,1,45,25,30,YES,Yes,No,NO,60,No,NO,Low,"Marseille is favored due to their higher league position and home advantage. The match is likely to see goals from both sides; with a good chance of exceeding 2.5 goals based on historical data."
3,2025-12-14,"Serie A","Bologna","Juventus",0-1,2,3.35,3.25,2.22,1.73,2.05,1.93,1.85,2,25,30,45,YES,Yes,No,NO,45,No,YES,Low,"Juventus is slightly favored to win due to historical performance and market odds; but Bologna's home advantage and similar league standings make it a potentially tight contest. Expect both teams to s"
4,2025-12-14,"Bundesliga","Werder Bremen","VfB Stuttgart",0-4,2,2.80,3.65,2.32,1.45,2.60,1.55,2.40,2,30,25,45,YES,Yes,No,NO,60,Yes,YES,Low,"VfB Stuttgart is favored to win due to their higher league position and better head-to-head record. The match is expected to be competitive with both teams likely to score; and there is a good chance "
5,2025-12-14,"Serie A","Genoa","Inter",1-2,2,6.80,3.90,1.52,2.05,1.73,2.00,1.80,2,10,15,75,YES,No,Yes,NO,65,Yes,YES,Low,"Inter is expected to dominate this match given their top league position and strong historical performance against Genoa. Despite the lack of recent form data; the disparity in league standings and he"
6,2025-12-14,"Premier League","Brentford","Leeds",1-1,X,2.15,3.20,3.55,1.91,1.83,2.20,1.65,1,40,30,30,NO,Yes,Yes,YES,45,No,YES,Medium,"Brentford's home advantage and slightly better form give them a marginal edge over Leeds. Both teams are likely to score; but the match may not exceed 2.5 goals given their historical scoring patterns"
7,2025-12-14,"Bundesliga","Bayern München","FSV Mainz 05",2-2,X,1.09,11.00,19.50,1.80,1.95,1.20,4.50,1,85,10,5,NO,Yes,Yes,YES,90,Yes,YES,Medium,"Bayern München is expected to dominate this match given their league position and historical performance against Mainz. Despite the disparity in team strength; Mainz has a tendency to score in these f"
8,2025-12-14,"Ligue 1","Strasbourg","Lorient",0-0,X,1.78,3.65,4.45,1.73,2.00,1.85,1.93,1,45,30,25,NO,Yes,No,NO,55,No,NO,Low,"Strasbourg is expected to leverage their home advantage and superior league position to edge out Lorient. The match is likely to see goals from both sides; with a moderate chance of exceeding 2.5 tota"
9,2025-12-14,"Ligue 1","Lens","Nice",2-0,1,1.52,4.33,5.80,1.60,2.20,1.53,2.45,1,65,20,15,YES,No,No,YES,40,No,YES,Low,"Lens is expected to capitalize on their home advantage and superior league position against a struggling Nice side. The historical head-to-head data suggests a low-scoring affair; with Lens likely to "
10,2025-12-14,"Ligue 1","Auxerre","Lille",3-4,2,4.10,3.35,1.94,1.85,1.85,2.10,1.73,2,15,25,60,YES,Yes,Yes,YES,65,Yes,YES,Low,"Lille is expected to win due to their higher league standing and strong head-to-head record against Auxerre. The match is likely to see goals from both sides; with a high probability of over 2.5 goals"
11,2025-12-14,"La Liga","Celta Vigo","Athletic Club",2-0,1,2.78,3.15,2.62,1.90,1.85,2.25,1.62,2,32,28,40,NO,Yes,No,NO,50,No,YES,Low,"This match is expected to be closely contested given the similar league standings and head-to-head history. Athletic Club has a slight advantage due to their historical performance against Celta Vigo "
12,2025-12-14,"Bundesliga","SC Freiburg","Borussia Dortmund",1-1,X,3.40,3.30,2.15,1.77,2.00,2.00,1.80,2,20,25,55,NO,Yes,Yes,YES,80,No,NO,Low,"Borussia Dortmund is favored to win due to their superior head-to-head record and higher league position. The match is likely to see goals from both sides; with a high probability of over 2.5 goals gi"
13,2025-12-14,"Premier League","Crystal Palace","Manchester City",0-3,2,4.20,3.80,1.79,1.62,2.20,1.67,2.15,2,15,20,65,YES,Yes,No,NO,70,Yes,YES,Medium,"Manchester City is expected to dominate the match given their superior form and league position. Crystal Palace; while competitive; may struggle against a top-tier side. The match is likely to see goa"
14,2025-12-14,"Serie A","Udinese","Napoli",1-0,1,4.45,3.20,1.91,2.05,1.73,2.35,1.57,2,15,20,65,NO,Yes,No,NO,55,No,NO,Low,"Napoli is expected to leverage their superior league position and historical success against Udinese to secure a win. While Udinese may benefit from home advantage; Napoli's overall strength and marke"
15,2025-12-14,"Ligue 1","Lyon","Le Havre",1-0,1,1.66,3.85,5.00,1.85,1.85,1.93,1.85,1,65,20,15,YES,No,No,YES,60,No,NO,Low,"Lyon is expected to capitalize on their home advantage and superior league position to secure a win against Le Havre. While Le Havre may struggle to score; the match is likely to see over 2.5 goals gi"
16,2025-12-14,"Premier League","Nottingham Forest","Tottenham",3-0,1,2.52,3.25,2.80,1.73,2.05,1.95,1.83,2,35,25,40,NO,Yes,No,NO,60,Yes,YES,Medium,"Nottingham Forest's recent home form is strong; but Tottenham's overall quality and head-to-head record give them a slight advantage. Expect a competitive match with goals from both sides; likely resu"
17,2025-12-14,"Premier League","Sunderland","Newcastle",1-0,1,3.50,3.35,2.10,1.73,2.05,1.90,1.85,1,45,25,30,YES,Yes,No,NO,55,No,NO,Medium,"Sunderland's strong historical performance against Newcastle and their home advantage make them slight favorites; despite Newcastle's recent form improvement. The match is likely to see goals from bot"
18,2025-12-14,"Serie A","Fiorentina","Verona",1-2,2,1.97,3.15,4.30,2.00,1.75,2.30,1.60,1,45,30,25,NO,Yes,Yes,YES,50,Yes,NO,Low,"Fiorentina; despite being at the bottom of the league; has a favorable head-to-head record against Verona and benefits from home advantage. Both teams have shown defensive weaknesses; which could lead"
19,2025-12-14,"Premier League","West Ham","Aston Villa",2-3,2,3.35,3.40,2.14,1.65,2.15,1.83,1.95,2,20,25,55,YES,Yes,Yes,YES,70,Yes,YES,High,"Aston Villa is in excellent form with five consecutive wins; while West Ham is struggling near the bottom of the table. Despite playing at home; West Ham is likely to face a tough challenge against a "
20,2025-12-14,"La Liga","Sevilla","Oviedo",4-0,1,2.02,3.20,3.95,1.95,1.80,2.25,1.62,1,65,20,15,YES,No,No,YES,55,Yes,YES,Low,"Sevilla is expected to dominate this match due to their higher league position and home advantage. Oviedo's struggles in the league suggest they may find it difficult to score. The game is likely to s"
21,2025-12-14,"Serie A","AC Milan","Sassuolo",2-2,X,1.46,4.20,7.10,2.00,1.75,1.85,1.91,1,65,20,15,NO,Yes,Yes,YES,75,Yes,YES,Low,"AC Milan is favored to win due to their superior league position and home advantage. The match is likely to be high-scoring; with both teams having a good chance to find the net; as indicated by their"
